Day,Type,recovery_time_ms
29,Memory,6.784547811133299
30,Memory,6.7845477115638495
31,Memory,6.7845477115638495
32,Memory,6.784547811133299
33,Memory,6.784547811133299
34,Memory,6.7845477115638495
35,Memory,6.7845477115638495
36,Memory,6.7845477115638495
37,Memory,6.784547811133299
38,Memory,6.7845477115638495
39,Memory,6.784547811133299
40,Memory,6.784547811133299
41,Memory,6.7845477115638495
42,Memory,6.7845477115638495
43,Memory,6.7845477115638495
44,Memory,6.7845477115638495
45,Memory,6.7845477115638495
46,Memory,6.7845477115638495
47,Memory,6.7845477115638495
48,Memory,6.7845477115638495
49,Memory,6.7845477115638495
50,Memory,6.7845477115638495
51,Memory,6.7845477115638495
52,Memory,6.7845477115638495
53,Memory,6.7845477115638495
54,Memory,6.7845477115638495
55,Memory,6.7845477115638495
56,Memory,6.7845477115638495
57,Memory,6.7845477115638495
58,Memory,6.7845477115638495
59,Memory,6.7845477115638495
60,Memory,6.7845477115638495
61,Memory,6.7845477115638495
62,Memory,6.7845477115638495
63,Memory,6.7845477115638495
64,Memory,6.7845477115638495
65,Memory,6.784547811133299
66,Memory,6.7845477115638495
67,Memory,6.7845477115638495
68,Memory,6.7845477115638495
69,Memory,6.7845477115638495
70,Memory,6.7845477115638495
71,Memory,6.7845477115638495
72,Memory,6.7845477115638495
73,Memory,6.7845477115638495
74,Memory,6.7845477115638495
75,Memory,6.7845477115638495
76,Memory,6.7845477115638495
77,Memory,6.7845477115638495
78,Memory,6.7845477115638495
79,Memory,6.7845477115638495
80,Memory,6.7845477115638495
81,Memory,6.7845477115638495
82,Memory,6.784547811133299
83,Memory,6.7845477115638495
84,Memory,6.7845477115638495
85,Memory,6.7845477115638495
86,Memory,6.784547811133299
87,Memory,6.7845477115638495
88,Memory,6.7845477115638495
89,Memory,6.7845477115638495
90,Memory,6.7845477115638495
91,Memory,6.7845477115638495
92,Memory,6.784547811133299
93,Memory,6.7845477115638495
94,Memory,6.784547811133299
95,Memory,6.7845477115638495
96,Memory,6.7845477115638495
97,Memory,6.7845477115638495
98,Memory,6.784547811133299
99,Memory,6.7845477115638495
100,Memory,6.7845477115638495
101,Memory,6.7845477115638495
102,Memory,6.7845477115638495
103,Memory,6.7845477115638495
104,Memory,6.7845477115638495
105,Memory,6.7845477115638495
106,Memory,6.7845477115638495
107,Memory,6.7845477115638495
108,Memory,6.7845477115638495
109,Memory,6.7845477115638495
110,Memory,6.7845477115638495
111,Memory,6.7845477115638495
112,Memory,6.7845477115638495
113,Memory,6.7845477115638495
114,Memory,6.784547811133299
115,Memory,6.7845477115638495
116,Memory,6.7845477115638495
117,Memory,6.7845477115638495
118,Memory,6.7845477115638495
119,Memory,6.7845477115638495
120,Memory,6.7845477115638495
121,Memory,6.7845477115638495
122,Memory,6.7845477115638495
123,Memory,6.7845477115638495
124,Memory,6.7845477115638495
125,Memory,6.7845477115638495
126,Memory,6.784547811133299
127,Memory,6.7845477115638495
128,Memory,6.7845477115638495
129,Memory,6.7845477115638495
130,Memory,6.7845477115638495
131,Memory,6.7845477115638495
132,Memory,6.7845477115638495
133,Memory,6.7845477115638495
134,Memory,6.7845477115638495
135,Memory,6.7845477115638495
136,Memory,6.7845477115638495
137,Memory,6.7845477115638495
138,Memory,6.7845477115638495
139,Memory,6.7845477115638495
140,Memory,6.7845477115638495
141,Memory,6.7845477115638495
142,Memory,6.7845477115638495
143,Memory,6.7845477115638495
144,Memory,6.7845477115638495
145,Memory,6.7845477115638495
146,Memory,6.7845477115638495
147,Memory,6.784547811133299
148,Memory,6.7845477115638495
149,Memory,6.7845477115638495
150,Memory,6.7845477115638495
151,Memory,6.7845477115638495
152,Memory,6.7845477115638495
153,Memory,6.7845477115638495
154,Memory,6.7845477115638495
155,Memory,6.7845477115638495
156,Memory,6.7845477115638495
157,Memory,6.7845477115638495
158,Memory,6.7845477115638495
159,Memory,6.7845477115638495
160,Memory,6.7845477115638495
161,Memory,6.7845477115638495
162,Memory,6.7845477115638495
163,Memory,6.7845477115638495
164,Memory,6.784547811133299
165,Memory,6.7845477115638495
166,Memory,6.7845477115638495
167,Memory,6.7845477115638495
168,Memory,6.784547811133299
169,Memory,6.7845477115638495
170,Memory,6.7845477115638495
171,Memory,6.7845477115638495
172,Memory,6.7845477115638495
173,Memory,6.7845477115638495
174,Memory,6.784547811133299
175,Memory,6.7845477115638495
176,Memory,6.784547811133299
177,Memory,6.7845477115638495
178,Memory,6.7845477115638495
179,Memory,6.7845477115638495
180,Memory,6.784547811133299
1,Network,5.528870049976612
2,Network,5.533794439945811
3,Network,5.586938621951837
4,Network,5.58855862460417
5,Network,5.554396350263365
6,Network,5.538774872288321
7,Network,5.562789918813808
8,Network,5.570389776132708
9,Network,5.560718574904983
10,Network,5.559570373423207
11,Network,5.564640206694571
12,Network,5.564999923118505
13,Network,5.562922352279312
14,Network,5.563001189665578
15,Network,5.563902760226709
16,Network,5.5637148403638195
17,Network,5.563312980964716
18,Network,5.563414946949491
19,Network,5.563576735943873
20,Network,5.563511130784639
21,Network,5.563450974189477
22,Network,5.563484999916131
23,Network,5.563507572538715
24,Network,5.563490559675388
25,Network,5.563483220793168
26,Network,5.563490226089832
27,Network,5.563492672383905
28,Network,5.563489558918722
29,Network,5.563489447723536
30,Network,5.563490003699462
31,Network,5.563489781309092
32,Network,5.563490003699462
33,Network,5.563490003699462
34,Network,5.563490003699462
35,Network,5.563489892504277
36,Network,5.563490003699462
37,Network,5.563490003699462
38,Network,5.563490003699462
39,Network,5.563490003699462
40,Network,5.563490003699462
41,Network,5.563490003699462
42,Network,5.563490003699462
43,Network,5.563490003699462
44,Network,5.563490003699462
45,Network,5.563490003699462
46,Network,5.563490003699462
47,Network,5.563490003699462
48,Network,5.563490003699462
49,Network,5.563490003699462
50,Network,5.563490003699462
51,Network,5.563490003699462
52,Network,5.563490003699462
53,Network,5.563490003699462
54,Network,5.563490003699462
55,Network,5.563490003699462
56,Network,5.563490003699462
57,Network,5.563490003699462
58,Network,5.563490003699462
59,Network,5.563490003699462
60,Network,5.563490003699462
61,Network,5.563490003699462
62,Network,5.563490003699462
63,Network,5.563490003699462
64,Network,5.563490003699462
65,Network,5.563490003699462
66,Network,5.563490003699462
67,Network,5.563490003699462
68,Network,5.563490003699462
69,Network,5.563490003699462
70,Network,5.563490003699462
71,Network,5.563490003699462
72,Network,5.563490003699462
73,Network,5.563490003699462
74,Network,5.563490003699462
75,Network,5.563490003699462
76,Network,5.563490003699462
77,Network,5.563490003699462
78,Network,5.563490003699462
79,Network,5.563490003699462
80,Network,5.563490003699462
81,Network,5.563490003699462
82,Network,5.563490003699462
83,Network,5.563490003699462
84,Network,5.563490003699462
85,Network,5.563490003699462
86,Network,5.563490003699462
87,Network,5.563490003699462
88,Network,5.563490003699462
89,Network,5.563490003699462
90,Network,5.563490003699462
91,Network,5.563490003699462
92,Network,5.563490003699462
93,Network,5.563490003699462
94,Network,5.563490003699462
95,Network,5.563490003699462
96,Network,5.563490003699462
97,Network,5.563490003699462
98,Network,5.563490003699462
99,Network,5.563490003699462
100,Network,5.563490003699462
101,Network,5.563490003699462
102,Network,5.563490003699462
103,Network,5.563490003699462
104,Network,5.563490003699462
105,Network,5.563490003699462
106,Network,5.563490003699462
107,Network,5.563490003699462
108,Network,5.563490003699462
109,Network,5.563490003699462
110,Network,5.563490003699462
111,Network,5.563490003699462
112,Network,5.563490003699462
113,Network,5.563490003699462
114,Network,5.563490003699462
115,Network,5.563490003699462
116,Network,5.563490003699462
117,Network,5.563490003699462
118,Network,5.563490003699462
119,Network,5.563490003699462
120,Network,5.563490003699462
121,Network,5.563490003699462
122,Network,5.563490003699462
123,Network,5.563490003699462
124,Network,5.563490003699462
125,Network,5.563490003699462
126,Network,5.563490003699462
127,Network,5.563490003699462
128,Network,5.563490003699462
129,Network,5.563490003699462
130,Network,5.563490003699462
131,Network,5.563490003699462
132,Network,5.563490003699462
133,Network,5.563490003699462
134,Network,5.563490003699462
135,Network,5.563490003699462
136,Network,5.563490003699462
137,Network,5.563490003699462
138,Network,5.563490003699462
139,Network,5.563490003699462
140,Network,5.563490003699462
141,Network,5.563490003699462
142,Network,5.563490003699462
143,Network,5.563490003699462
144,Network,5.563490003699462
145,Network,5.563490003699462
146,Network,5.563490003699462
147,Network,5.563490003699462
148,Network,5.563490003699462
149,Network,5.563490003699462
150,Network,5.563490003699462
151,Network,5.563490003699462
152,Network,5.563490003699462
153,Network,5.563490003699462
154,Network,5.563490003699462
155,Network,5.563490003699462
156,Network,5.563490003699462
157,Network,5.563490003699462
158,Network,5.563490003699462
159,Network,5.563490003699462
160,Network,5.563490003699462
161,Network,5.563490003699462
162,Network,5.563490003699462
163,Network,5.563490003699462
164,Network,5.563490003699462
165,Network,5.563490003699462
166,Network,5.563490003699462
167,Network,5.563490003699462
168,Network,5.563490003699462
169,Network,5.563490003699462
170,Network,5.563490003699462
171,Network,5.563490003699462
172,Network,5.563490003699462
173,Network,5.563490003699462
174,Network,5.563490003699462
175,Network,5.563490003699462
176,Network,5.563490003699462
177,Network,5.563490003699462
178,Network,5.563490003699462
179,Network,5.563490003699462
180,Network,5.563490003699462
