Day,Type,load_percent
118,CPU,3.703952777154977
119,CPU,3.703952777154977
120,CPU,3.703952777154977
121,CPU,3.703952777154977
122,CPU,3.703952777154977
123,CPU,3.703952777154977
124,CPU,3.703952777154977
125,CPU,3.7039529432916196
126,CPU,3.703952777154977
127,CPU,3.703952777154977
128,CPU,3.703952777154977
129,CPU,3.703952777154977
130,CPU,3.7039529432916196
131,CPU,3.703952777154977
132,CPU,3.703952777154977
133,CPU,3.703952777154977
134,CPU,3.703952777154977
135,CPU,3.703952777154977
136,CPU,3.703952777154977
137,CPU,3.703952777154977
138,CPU,3.703952777154977
139,CPU,3.703952777154977
140,CPU,3.703952777154977
141,CPU,3.703952777154977
142,CPU,3.703952777154977
143,CPU,3.703952777154977
144,CPU,3.703952777154977
145,CPU,3.703952777154977
146,CPU,3.703952777154977
147,CPU,3.703952777154977
148,CPU,3.703952777154977
149,CPU,3.703952777154977
150,CPU,3.703952777154977
151,CPU,3.703952777154977
152,CPU,3.7039529432916196
153,CPU,3.703952777154977
154,CPU,3.703952777154977
155,CPU,3.703952777154977
156,CPU,3.703952777154977
157,CPU,3.703952777154977
158,CPU,3.7039529432916196
159,CPU,3.703952777154977
160,CPU,3.703952777154977
161,CPU,3.703952777154977
162,CPU,3.703952777154977
163,CPU,3.703952777154977
164,CPU,3.703952777154977
165,CPU,3.7039529432916196
166,CPU,3.703952777154977
167,CPU,3.703952777154977
168,CPU,3.703952777154977
169,CPU,3.703952777154977
170,CPU,3.703952777154977
171,CPU,3.703952777154977
172,CPU,3.703952777154977
173,CPU,3.703952777154977
174,CPU,3.703952777154977
175,CPU,3.703952777154977
176,CPU,3.703952777154977
177,CPU,3.703952777154977
178,CPU,3.703952777154977
179,CPU,3.703952777154977
180,CPU,3.703952777154977
1,Disk,3.685936607088371
2,Disk,3.71672337993103
3,Disk,3.7162589850877747
4,Disk,3.712560014397268
5,Disk,3.6999629248664077
6,Disk,3.7104489907797236
7,Disk,3.7142644395885958
8,Disk,3.710111318058729
9,Disk,3.706698294193005
10,Disk,3.707644916034445
11,Disk,3.7086019083489643
12,Disk,3.7081576221059476
13,Disk,3.707942118616594
14,Disk,3.7082231331432043
15,Disk,3.708350487611385
16,Disk,3.7081988510598967
17,Disk,3.70812878713202
18,Disk,3.7081887335251853
19,Disk,3.7082132685468605
20,Disk,3.7081864570798753
21,Disk,3.708177098360267
22,Disk,3.7081906305629437
23,Disk,3.708194804046012
24,Disk,3.7081884805868177
25,Disk,3.7081867100182433
26,Disk,3.708189492340289
27,Disk,3.7081897452786565
28,Disk,3.7081884805868177
29,Disk,3.708189239401921
30,Disk,3.708189112932737
31,Disk,3.7081888599943693
32,Disk,3.7081888599943693
33,Disk,3.7081889864635533
34,Disk,3.7081889864635533
35,Disk,3.7081889864635533
36,Disk,3.7081889864635533
37,Disk,3.7081889864635533
38,Disk,3.7081889864635533
39,Disk,3.7081889864635533
40,Disk,3.7081889864635533
41,Disk,3.7081889864635533
42,Disk,3.7081889864635533
43,Disk,3.7081889864635533
44,Disk,3.7081889864635533
45,Disk,3.7081889864635533
46,Disk,3.7081889864635533
47,Disk,3.7081889864635533
48,Disk,3.7081889864635533
49,Disk,3.7081889864635533
50,Disk,3.7081889864635533
51,Disk,3.7081889864635533
52,Disk,3.7081889864635533
53,Disk,3.7081889864635533
54,Disk,3.7081889864635533
55,Disk,3.7081889864635533
56,Disk,3.7081889864635533
57,Disk,3.7081889864635533
58,Disk,3.7081889864635533
59,Disk,3.7081889864635533
60,Disk,3.7081889864635533
61,Disk,3.7081888599943693
62,Disk,3.7081889864635533
63,Disk,3.7081889864635533
64,Disk,3.7081889864635533
65,Disk,3.7081889864635533
66,Disk,3.7081889864635533
67,Disk,3.7081889864635533
68,Disk,3.7081889864635533
69,Disk,3.7081889864635533
70,Disk,3.7081889864635533
71,Disk,3.7081889864635533
72,Disk,3.7081889864635533
73,Disk,3.7081889864635533
74,Disk,3.7081889864635533
75,Disk,3.7081889864635533
76,Disk,3.7081889864635533
77,Disk,3.7081889864635533
78,Disk,3.7081889864635533
79,Disk,3.7081889864635533
80,Disk,3.7081889864635533
81,Disk,3.7081889864635533
82,Disk,3.7081889864635533
83,Disk,3.7081889864635533
84,Disk,3.7081889864635533
85,Disk,3.7081889864635533
86,Disk,3.7081889864635533
87,Disk,3.7081888599943693
88,Disk,3.7081889864635533
89,Disk,3.7081888599943693
90,Disk,3.7081889864635533
91,Disk,3.7081889864635533
92,Disk,3.7081889864635533
93,Disk,3.7081889864635533
94,Disk,3.7081889864635533
95,Disk,3.7081889864635533
96,Disk,3.7081889864635533
97,Disk,3.7081889864635533
98,Disk,3.7081889864635533
99,Disk,3.7081889864635533
100,Disk,3.7081889864635533
101,Disk,3.7081889864635533
102,Disk,3.7081889864635533
103,Disk,3.7081889864635533
104,Disk,3.7081889864635533
105,Disk,3.7081889864635533
106,Disk,3.7081889864635533
107,Disk,3.7081888599943693
108,Disk,3.7081889864635533
109,Disk,3.7081889864635533
110,Disk,3.7081889864635533
111,Disk,3.7081889864635533
112,Disk,3.7081889864635533
113,Disk,3.7081889864635533
114,Disk,3.7081889864635533
115,Disk,3.7081889864635533
116,Disk,3.7081888599943693
117,Disk,3.7081889864635533
118,Disk,3.7081889864635533
119,Disk,3.7081889864635533
120,Disk,3.7081889864635533
121,Disk,3.7081889864635533
122,Disk,3.7081889864635533
123,Disk,3.7081889864635533
124,Disk,3.7081888599943693
125,Disk,3.7081889864635533
126,Disk,3.7081888599943693
127,Disk,3.7081889864635533
128,Disk,3.7081889864635533
129,Disk,3.7081889864635533
130,Disk,3.7081889864635533
131,Disk,3.7081889864635533
132,Disk,3.7081889864635533
133,Disk,3.7081889864635533
134,Disk,3.7081889864635533
135,Disk,3.7081889864635533
136,Disk,3.7081889864635533
137,Disk,3.7081889864635533
138,Disk,3.7081889864635533
139,Disk,3.7081889864635533
140,Disk,3.7081889864635533
141,Disk,3.7081889864635533
142,Disk,3.7081889864635533
143,Disk,3.7081889864635533
144,Disk,3.7081889864635533
